name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Darryl Cobb,,6,8,0,175.26,83.91,,,,0,0,0,0,0,0,0,0,,loss
Moise Rimbon,Swamp,23,11,3,177.8,92.99,,Orthodox,4/20/1977,0.8,34,1,71,1,50,37,0,,win
Alfonso Alcarez,,1,3,1,160.02,65.77,,,,0,0,0,0,0,0,0,0,,loss
Ben Lagman,Bad News,6,5,0,187.96,83.91,,,,0,0,0,0,0,0,0,0,,win
John Renken,The Saint,18,28,4,182.88,86.18,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Brandon Sene,,2,2,0,180.34,92.99,,,,0,0,0,0,0,0,0,0,,draw
James Llontop,Goku,14,2,0,182.88,70.31,185.42,Orthodox,8/2/1999,4.93,54,1.93,74,0,0,71,0,,win
Scott Fiedler,,0,1,0,193.04,106.59,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Liliya Shakirova,,8,2,0,162.56,56.7,165.1,Orthodox,10/24/1991,2.7,30,2.58,74,0,0,0,0,,win
Kaue Fernandes,,8,2,0,175.26,70.31,185.42,Orthodox,3/17/1995,1.53,54,0.87,59,1,100,62,0,,win
Andre Walker,,1,5,0,180.34,92.99,,Southpaw,,2.28,31,4.36,34,0,0,0,0,,loss
Leiticia Pestova,,0,2,0,167.64,61.23,,Orthodox,1/15/1984,0,0,24.62,44,0,0,0,0,,loss
Kelly Velasco,Killer,2,1,0,175.26,61.23,,Orthodox,5/21/1995,2.27,35,5.67,47,0,0,100,0,,win
Sheldon Westcott,,10,3,1,185.42,77.11,180.34,Southpaw,8/20/1984,2.26,40,3.73,37,3.23,37,14,0,,win
Anthony Leone,,15,8,0,167.64,61.23,,Orthodox,5/27/1987,1.94,53,2.52,56,1.72,18,0,0,,win
Darko Stosic,,13,4,0,182.88,92.99,193.04,Orthodox,2/9/1992,2.61,45,4.04,58,3.42,50,83,0,,win
Melissa Martinez,Super Mely,7,1,0,157.48,52.16,167.64,Southpaw,8/18/1997,3,57,2.53,45,1,50,0,0,,win
Ben Jones,Blitzkrieg,4,4,0,,83.91,,,,0,0,0,0,0,0,0,0,,draw
Jason Medina,,21,15,1,175.26,81.65,,,,0,0,0,0,0,0,0,0,,win
Nandor Guelmino,The Hun,11,5,1,190.5,104.33,,,,3.62,56,3.16,33,0,0,42,0,,win
Nick Gibbons,,2,1,0,177.8,70.31,,,,0,0,0,0,0,0,0,0,,win
Andy Ogle,The Little Axe,9,6,0,172.72,65.77,175.26,Orthodox,2/16/1989,2.24,44,2.23,50,1.44,26,58,0,,win
Askar Askar,AK-47,11,1,0,170.18,65.77,175.26,Orthodox,8/19/1994,0,0,0,0,0,0,0,0,,win
Paul Redmond,Redser,12,7,0,177.8,65.77,,Orthodox,10/20/1986,0.72,34,2.99,41,0,0,50,0,,win
Alex Torres,Rolo,5,4,0,177.8,65.77,,Orthodox,5/29/1988,2.47,37,2.73,69,2,22,50,0,,win
Ednaldo Oliveira,Lula,17,3,1,195.58,92.99,,Orthodox,2/19/1984,1.03,22,1.8,52,0,0,42,0,,win
Rudyard Moncayo,,0,3,0,177.8,88.45,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Desmond Torres,,7,2,0,167.64,61.23,175.26,Orthodox,1/6/1997,4.8,64,11.78,48,0,0,100,0,,win
Gerry Harris,,1,4,0,203.2,122.47,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Ronal Siahaan,Naga Sakti,7,1,0,170.18,56.7,180.34,Southpaw,5/5/1996,0.63,66,6.17,25,0,0,25,0,,win
Masanori Tonooka,,1,2,0,172.72,83.91,,Orthodox,,0.16,5,1.09,36,0,0,0,0,,loss
Hidehiko Hasegawa,,19,20,6,175.26,77.11,,,,0,0,0,0,0,0,0,0,,loss
Lodune Sincaid,,15,9,0,175.26,83.91,,Orthodox,5/7/1973,2.72,42,6.17,57,0,0,75,0,,win
Sarah Kaufman,,18,4,0,165.1,61.23,167.64,Orthodox,9/20/1985,6.65,46,4,62,0.38,57,81,0,,win
Gideon Ray,,17,15,1,177.8,83.91,,Southpaw,5/27/1973,2.08,40,2.58,53,1.49,100,0,0,,win
Gary Padilla,,12,6,0,180.34,92.99,,,,2.2,27,2,76,0,0,50,0,,win
Kwan Ho Kwak,,9,2,0,165.1,61.23,,Switch,6/18/1989,3.29,41,3.45,47,0.78,100,26,0,,win
Mark Robinson,White Rhino,1,0,0,182.88,120.2,,Orthodox,,0,0,5.8,13,0,0,0,0,,win
David Blanco,,2,0,0,170.18,65.77,,,,0,0,0,0,0,0,0,0,,win
Alessio Sakara,Legionarius,19,11,0,182.88,83.91,182.88,Orthodox,9/2/1981,3.96,47,2.8,59,2.18,78,62,0,,win
Jesse Finney,,5,1,0,182.88,77.11,,,,0,0,0,0,0,0,0,0,,win
Joe Vedepo,The Doctor,18,9,0,182.88,83.91,,Orthodox,,1.43,42,5.71,38,1.07,20,0,0,,win
John Phillips,The Welsh Wrecking Machine,22,11,0,180.34,83.91,190.5,Southpaw,6/9/1985,1.72,34,4.03,49,0,0,7,0,,win
Neal Ewing,,6,0,0,,83.91,,,,2.27,60,1.93,48,5,62,0,0,,win
Remco Pardoel,Grizzly,9,6,1,190.5,117.93,,Southpaw,,0,0,0,0,0,0,0,0,,win
Alexandre Ferreira,Cacareco,18,6,0,170.18,92.99,,Orthodox,4/25/1979,2.57,60,8.14,42,0,0,0,0,,win
Vernon Ramos Ho,,3,1,0,167.64,77.11,,Orthodox,6/3/1992,4,25,8,55,0,0,0,0,,win
Angelo Trevino,Baby Monsta,7,3,0,180.34,77.11,,Switch,6/10/1993,5.19,54,3.9,47,0,0,100,0,,win
Ross Ebanez,The Boss,20,10,0,175.26,69.85,,Southpaw,5/18/1975,0.74,50,0.74,62,3.7,100,0,0,,win
Stanislav Nedkov,Stucky,12,2,0,180.34,92.99,180.34,Orthodox,12/9/1981,3.33,43,5.39,43,2.77,41,0,0,,win
Mike Breeden,Money,11,6,0,177.8,70.31,177.8,Orthodox,4/21/1989,5.75,45,7.28,42,0.98,30,67,0,,win
Melsik Baghdasaryan,The Gun,8,2,0,175.26,65.77,177.8,Southpaw,1/28/1992,5.28,61,3.06,58,0,0,72,0,,win
Gabriel Miglioli,Biel,9,9,0,172.72,77.11,,,,0,0,0,0,0,0,0,0,,draw
Wendell Oliveira Marques,The Machine,29,10,0,177.8,77.11,,Orthodox,6/1/1983,3.77,47,4.4,47,0,0,100,0,,win
Artem Lobov,The Russian Hammer,13,15,1,175.26,65.77,165.1,Southpaw,8/11/1986,3.52,41,4.82,50,0.39,25,52,0,,loss
Sai Wang,The Fire Kylin,20,6,1,182.88,77.11,,Southpaw,1/14/1986,3.17,46,2.27,53,0,0,77,0,,win
Alen Amedovski,,8,4,0,177.8,83.91,187.96,Orthodox,4/6/1988,0.99,30,3.85,46,0,0,0,0,,win
Koji Kitao,,1,2,0,200.66,158.76,,Southpaw,10/12/1963,0,0,0,0,0,0,0,0,,loss
Dalcha Lungiambula,Champion,11,6,0,172.72,83.91,193.04,Orthodox,7/31/1987,3.07,45,3.93,52,2.14,45,77,0,,win
Irwin Rivera,The Beast,10,6,0,167.64,61.23,170.18,Southpaw,2/14/1989,3.36,44,5.07,57,1,16,70,0,,win
Adam Lynn,,17,10,0,177.8,70.31,,Orthodox,,1.47,63,6.95,10,0,0,50,0,,win
Chad Vance,,7,5,0,182.88,83.91,,Orthodox,,0,0,0,0,0,0,0,0,,win
Igor Zinoviev,Houdini,4,1,2,185.42,90.26,,Orthodox,,0,0,0,0,0,0,0,0,,win
Sam Hughes,Sampage,8,5,0,165.1,52.16,162.56,Orthodox,6/28/1992,3.79,46,4.23,54,1.12,41,57,0,,win
Pawel Pawlak,,12,3,0,182.88,77.11,185.42,Orthodox,2/8/1989,1.67,33,2.22,53,1,37,70,0,,win
Ricky Johnson,,10,6,0,172.72,65.77,,Orthodox,,1.83,25,6.3,36,0,0,0,0,,win
Oumar Sy,,6,0,0,,92.99,,,,0,0,0,0,0,0,0,0,,win
Jong Wang Kim,,13,23,0,185.42,108.86,,,,0,0,0,0,0,0,0,0,,loss
Dan Charles,The Man,10,6,1,187.96,103.42,,,,2.82,45,3.51,44,0,0,31,0,,win
Mike Aina,Iron,14,6,1,175.26,70.31,,Orthodox,,2.87,33,6.33,59,0,0,71,0,,win
Jeremiah Labiano,The Kid,11,5,0,177.8,61.23,,,,0,0,0,0,0,0,0,0,,win
Cyrillo Padilha,,3,3,0,180.34,70.31,,,,0,0,0,0,0,0,0,0,,draw
Artur Oumakhanov,,9,6,0,170.18,69.85,,Orthodox,2/27/1979,1.2,33,1.67,82,3,75,33,0,,win
Darrel Gholar,,5,6,0,172.72,88,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Dennis Reed,,45,62,1,,92.99,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Logan Nail,,1,1,0,,83.91,,,,1.93,51,2.27,39,0,0,37,0,,draw
Armando Villarreal,La Lumbre,5,2,0,170.18,61.23,167.64,Southpaw,8/8/1989,3.23,55,4.3,52,3.23,25,0,0,,win
Joaquin Buckley,New Mansa,17,6,0,177.8,77.11,193.04,Southpaw,4/27/1994,3.87,33,3.31,57,1.51,36,65,0,,win
Robert Bryczek,,17,5,0,,83.91,,,,0,0,0,0,0,0,0,0,,win
Derek Anderson,Barbaric,14,3,0,182.88,70.31,,,,3.97,37,3.08,61,0.34,14,60,0,,win
Bethe Correia,Pitbull,11,6,1,165.1,61.23,162.56,Orthodox,6/22/1983,4.37,43,4.93,56,0.39,18,85,0,,win
Shannon Ross,The Turkish Delight,13,8,0,167.64,56.7,167.64,Switch,5/12/1989,6.58,38,8.93,52,0,0,100,0,,win
Orlando Wiet,The Gladiator,1,5,0,177.8,77.11,,Southpaw,,0,0,0,0,0,0,0,0,,loss
Adrian Yanez,,16,5,0,170.18,61.23,177.8,Orthodox,11/29/1993,6.15,39,5.73,57,0,0,100,0,,win
Brandon Cash,Money,10,4,0,195.58,115.67,,Orthodox,,5.42,72,0.68,33,10.17,66,0,0,,win
Jamie Yager,The Chosyn 1,8,4,0,185.42,83.91,,Orthodox,11/29/1983,3.08,39,2.55,63,0,0,66,0,,win
Ben Alloway,Blanco,18,8,0,180.34,77.11,193.04,Orthodox,2/19/1981,1.28,49,1.9,59,0.62,50,26,0,,win
Kurt Osiander,,4,1,0,,83.91,,,,0,0,0,0,0,0,0,0,,win
Trevor Peek,,9,1,0,175.26,70.31,177.8,Switch,1/9/1995,5.09,56,4.37,44,1.76,50,51,0,,win
AJ Siscoe,Let's Go,1,2,0,170.18,61.23,,,,0,0,0,0,0,0,0,0,,loss
Chris Drumm,,0,1,0,172.72,65.77,,,,0,0,0,0,0,0,0,0,,loss
Federico Lopez,Kiko,10,6,0,162.56,63.05,,Orthodox,,1.78,23,5.35,30,0,0,0,0,,win
John Dowdy,,0,1,0,,,,,,0,0,0,0,0,0,0,0,,loss
Jared Hamman,The Messenger,14,6,0,190.5,83.91,190.5,Orthodox,3/7/1982,5.15,42,3.93,55,1.57,46,30,0,,win
Henry Martinez,Sicario,9,4,0,170.18,70.31,175.26,Southpaw,8/7/1983,2.79,25,4.01,60,0,0,80,0,,win
Jim Mullen,,0,2,0,185.42,97.52,,Southpaw,,0,0,0,0,0,0,0,0,,loss
Cody Pfister,The Fist,13,6,1,177.8,70.31,185.42,Orthodox,7/12/1990,1.41,25,2.8,51,2.82,30,0,0,,win
Cale Yarbrough,,8,3,0,185.42,83.91,,Orthodox,12/27/1986,3.16,27,10,72,0,0,0,0,,win
Jeremy Umphries,,5,2,0,,72.57,,,,0,0,0,0,0,0,0,0,,win
Alex Hunter,,2,0,0,175.26,102.51,,Orthodox,,0,0,0,0,0,0,0,0,,win
Bryan Travers,,15,4,0,,70.31,,,,2.33,48,3.93,55,2,28,63,0,,win
Todd Medina,El Tiburon,11,9,0,177.8,87.54,,Southpaw,,0,0,0,0,0,0,0,0,,win
Jeremy Malaterre,,4,2,0,180.34,70.31,,,,0,0,0,0,0,0,0,0,,win
Yan Pellerin,Wild Thing,11,13,0,180.34,92.99,,Orthodox,,0.59,25,0.89,66,4.43,100,0,0,,loss
Danny Martinez,The Gremlin,21,8,0,167.64,56.7,170.18,Orthodox,6/14/1985,2.73,28,3.77,63,3,45,36,0,,win
Jorge Patino,Macaco,38,19,2,172.72,77.11,,Orthodox,8/5/1973,1.33,30,3.14,53,0.54,25,50,0,,win
Paul Herrera,The Bone Crusher,1,1,0,177.8,83.91,,Orthodox,,0,0,0,0,0,0,0,0,,draw
Hector Aldana,,4,3,0,180.34,77.11,182.88,Orthodox,8/17/1988,3.59,38,5.08,59,0.93,100,0,0,,win
Keith Berry,,15,14,1,185.42,83.91,,,,0.27,12,6.27,28,0,0,0,0,,win
Ryan Diaz,,13,14,0,,65.77,,,,0,0,0,0,0,0,0,0,,loss
Chad Robichaux,Robo,13,2,0,162.56,61.23,,,,0,0,0,0,0,0,0,0,,win
Shana Olsen,Rock Solid,5,2,0,170.18,65.77,,,,0,0,0,0,0,0,0,0,,win
Caolan Loughran,The Don,8,1,0,167.64,61.23,172.72,Orthodox,5/18/1996,3.2,36,5.6,48,2,18,0,0,,win
Harold Howard,,1,3,0,187.96,108.86,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Giacomo Lemos,,6,0,0,190.5,112.04,190.5,Orthodox,6/23/1989,0,0,0,0,0,0,0,0,,win
Eduardo Dantas,Dudu,20,4,0,177.8,61.23,,,,3.33,60,3,60,4,23,100,0,,win
Marcin Prachnio,,16,7,0,190.5,92.99,187.96,Orthodox,7/14/1988,5.39,55,3.25,53,0,0,54,0,,win
Dino Pezao,,1,3,0,,92.99,,Orthodox,,0.66,30,3.28,31,0,0,0,0,,loss
Mairbek Taisumov,Beckan,27,6,0,175.26,70.31,185.42,Orthodox,8/8/1988,2.98,39,3.03,64,1.34,63,88,0,,win
Brandon Lowe,,2,1,0,,70.31,,,,0,0,0,0,0,0,0,0,,win
Qiu Lun,Tibetan Knight,16,9,0,172.72,56.7,167.64,Southpaw,7/8/1997,3.51,46,1.78,67,0.67,18,68,0,,win
Mike Richman,The Marine,18,7,0,172.72,61.23,,,,4.06,44,3.49,43,0,0,76,0,,win
Chris Daukaus,,12,7,0,190.5,92.99,193.04,Orthodox,9/25/1989,6.05,50,4.64,55,0,0,100,0,,win
Kris McCray,Savage,8,5,0,182.88,77.11,193.04,Orthodox,9/24/1981,2.69,45,2.57,54,2.88,55,38,0,,win
Brandon Michaels,,4,14,0,175.26,83.91,,,,0,0,0,0,0,0,0,0,,loss
Bruno Lopes,Brunao,11,1,0,187.96,92.99,190.5,Orthodox,4/24/1993,5.29,35,8.46,53,0,0,0,0,,win
Stoney Hale,The Skuller,5,3,0,182.88,,,,,0,0,0,0,0,0,0,0,,win
Yoel Romero,Soldier of God,13,5,0,182.88,83.91,185.42,Southpaw,4/30/1977,3.44,49,3.05,60,1.57,30,78,0,,win
Jesse Butler,,12,5,0,177.8,65.77,185.42,Orthodox,5/24/1992,2.61,14,7.83,40,0,0,0,0,,win
Louis Jauregui,,4,2,0,170.18,77.11,,,,0,0,0,0,0,0,0,0,,win
Jerrel Venetiaan,,4,3,0,185.42,88.45,,Orthodox,3/9/1971,0.81,33,1.51,67,0,0,60,0,,win
Lv Zhenhong,,16,6,0,172.72,65.77,170.18,Switch,6/25/1993,0,0,0,0,0,0,0,0,,win
Armen Petrosyan,Superman,9,2,0,190.5,83.91,180.34,Orthodox,11/2/1990,5.97,52,3.03,56,0.23,33,36,0,,win
Vinicius Magalhaes,Draculinho,2,1,0,,65.77,,,,0,0,0,0,0,0,0,0,,win
Shang Zhifa,Northeast Flying Tiger,32,8,0,170.18,56.7,160.02,Orthodox,3/15/1986,1.27,32,1.27,60,2,100,0,0,,win
James Reese,JP,11,10,0,175.26,70.31,,,,0,0,0,0,0,0,0,0,,win
David Abbott,Tank,10,15,0,182.88,120.2,,Switch,,1.35,30,3.55,38,1.07,33,66,0,,loss
Steven Ciaccio,Stryker,4,4,0,182.88,77.11,,,,0,0,0,0,0,0,0,0,,draw
Charlie Campbell,The Cannibal,8,2,0,182.88,70.31,182.88,Orthodox,7/3/1995,11.03,54,5.42,60,0,0,100,0,,win
Nazareno Malegarie,El Tigre,28,4,0,172.72,70.31,,,,3.87,34,3.27,69,1,33,0,0,,win
Christian Colombo,,8,3,1,195.58,120.2,,Orthodox,7/1/1980,2.76,44,4.02,42,0,0,33,0,,win
Mike Glenn,,5,6,0,,92.99,,,,0,0,0,0,0,0,0,0,,loss
Craig Zellner,Big Z,4,3,0,187.96,92.99,,Orthodox,9/9/1976,0.61,9,4.65,61,0,0,0,0,,win
Sergio Gomez,,10,3,0,167.64,70.31,,Orthodox,4/29/1982,1.5,42,1.16,56,2.57,66,31,0,,win
Roshaun Jones,,2,6,0,172.72,61.23,,,,0,0,0,0,0,0,0,0,,loss
Joey Gomez,,7,1,0,177.8,70.31,180.34,Orthodox,8/29/1989,3.73,49,3.33,50,2,28,0,0,,loss
Brad Kohler,,12,15,0,175.26,99.79,,Orthodox,5/26/1964,0,0,0,0,0,0,0,0,,win
Rashad Coulter,Daywalker,9,4,0,180.34,92.99,193.04,Orthodox,11/27/1981,4.82,56,6.68,50,0,0,62,0,,win
Antonio Carvalho,Pato,15,6,0,175.26,65.77,177.8,Orthodox,5/30/1979,3.03,29,3.62,64,0,0,100,0,,win
Zubaira Tukhugov,Warrior,20,6,1,172.72,70.31,172.72,Orthodox,1/15/1991,3.17,39,3.07,63,2.13,39,100,0,,win
Manuel Torres,El Loco,14,2,0,177.8,70.31,185.42,Switch,3/25/1995,9.66,58,3.76,56,0,0,100,0,,win
Raphael Pessoa,Bebezao,10,2,0,190.5,118.84,198.12,Orthodox,3/9/1989,2.16,26,3.43,42,0,0,100,0,,win
Jason Novelli,Flipside,11,3,1,182.88,70.31,,Orthodox,6/8/1979,1.73,24,3.55,66,0.7,33,100,0,,win
Magomed Gadzhiyasulov,,8,0,0,187.96,92.99,190.5,Orthodox,11/4/1993,4.87,46,1.6,73,6,85,100,0,,loss
Lance Gibson,Fearless,4,5,0,175.26,83.91,,Orthodox,11/20/1970,1.21,75,6.44,20,0,0,0,0,,win
TJ Cook,,13,5,0,,92.99,,,,2.3,47,3.18,54,1.01,50,0,0,,win
Chris Cope,C-Murder,8,4,0,182.88,77.11,182.88,Orthodox,3/5/1983,3.96,26,4.82,50,0,0,80,0,,win
Martin Svensson,,15,6,0,185.42,70.31,,,,2.02,38,5.91,38,0,0,0,0,,draw
Matt Helm,,1,1,0,,70.31,,,,0,0,0,0,0,0,0,0,,win
Hilarie Rose,,4,2,0,160.02,52.16,160.02,Orthodox,11/11/1992,2.33,33,6.13,44,0,0,100,0,,win
Viacheslav Borshchev,Slava Claus,7,3,1,180.34,70.31,175.26,Orthodox,1/8/1992,5.82,58,4.07,56,0,0,36,0,,loss
Tyra Parker,,4,5,0,165.1,52.16,,Orthodox,,1.5,22,9,14,0,0,0,0,,draw
Humberto DeLeon,,7,7,0,,61.23,,,,0,0,0,0,0,0,0,0,,win
Katsuya Inoue,,19,9,4,175.26,76.2,,Southpaw,8/10/1979,3.41,24,12.89,51,0,0,66,0,,loss
Robert Breslin,The Bullet,3,9,0,180.34,70.31,,,,2.21,46,3.5,66,1.38,100,50,0,,win
Takashi Sato,Ten,16,7,0,177.8,77.11,185.42,Southpaw,6/9/1990,2.21,41,3.73,44,0.76,37,60,0,,draw
Jason Blackford,,3,3,0,,,,,,0,0,0,0,0,0,0,0,,win
Roshan Mainam,The Indian Notorious,6,3,0,,61.23,,,,0,0,0,0,0,0,0,0,,win
Daichi Abe,,6,2,0,180.34,77.11,180.34,Orthodox,11/27/1991,3.8,33,4.49,56,0.33,50,0,0,,win
Aaron Jeffery,,10,3,0,187.96,83.91,185.42,Orthodox,11/14/1992,3.1,45,4.46,34,0,0,50,0,,win
YeDam Seo,,6,3,0,157.48,52.16,160.02,Orthodox,3/20/1992,0.33,15,2.27,55,0,0,0,0,,win
Charlie Ontiveros,American Bad Boy,11,9,0,187.96,70.31,187.96,Switch,7/4/1991,1.89,41,5.86,31,0,0,30,0,,win
Rob Yundt,Monster,9,5,0,185.42,83.91,,Orthodox,5/5/1980,1.37,41,2.55,31,2.94,100,0,0,,win
Salvador Becerra,,5,2,0,175.26,70.31,,,,4.57,31,3.83,58,0,0,66,0,,win
Lee Higgins,,2,1,0,,70.31,,,,1.02,26,3.68,40,0,0,0,0,,win
Andre Gusmao,,6,3,0,182.88,92.99,,Orthodox,5/19/1977,2.79,43,3.28,60,0,0,60,0,,loss
Kazuhiro Hamanaka,,5,7,1,182.88,83.91,,Southpaw,10/24/1978,1.7,37,0.91,60,0,0,50,0,,win
Joshua Van,The Fearless,9,1,0,165.1,56.7,165.1,Orthodox,10/10/2001,9.2,51,5.93,63,1,33,87,0,,win
Edgar Cardenas,Kitty Katt,4,1,0,,65.77,,,,0,0,0,0,0,0,0,0,,win
Soa Palelei,The Hulk,22,5,0,193.04,120.2,205.74,Orthodox,7/12/1977,2.47,57,2.68,48,2.2,47,66,0,,loss
Krishaun Gilmore,,0,1,0,,,,,,0,0,0,0,0,0,0,0,,loss
John Lober,The Machine,5,9,4,180.34,90.26,,Orthodox,2/26/1968,0,0,0,0,0,0,0,0,,loss
Kyosuke Sasaki,,3,7,4,170.18,83.01,,Southpaw,,0.33,45,0.93,46,0,0,0,0,,win
Li Jingliang,The Leech,19,8,0,182.88,77.11,180.34,Orthodox,3/20/1988,4.46,42,3.84,57,1.25,41,60,0,,win
Alptekin Ozkilic,The Turkish Delight,9,5,0,165.1,56.7,165.1,Orthodox,3/27/1986,3.81,32,5.72,59,4.21,58,75,0,,win
Jacqueline Cavalcanti,,6,1,0,172.72,61.23,177.8,Orthodox,8/29/1997,8.4,57,2.6,84,0,0,100,0,,win
Victor Rodriguez,Vicious,7,4,0,165.1,56.7,170.18,Switch,9/5/1992,1.59,37,6.11,50,0,0,0,0,,draw
Brett Tillis,,0,0,0,,65.77,,,,0,0,0,0,0,0,0,0,,win
Orion Cosce,Galaxy,8,2,0,180.34,77.11,180.34,Switch,7/15/1994,2.77,53,4.02,44,1.92,40,61,0,,win
Josh Copeland,Cuddly Bear,12,4,0,185.42,120.2,,Orthodox,10/20/1982,1.03,31,3.01,55,0,0,57,0,,loss
Shannon Ritch,The Cannon,56,83,0,175.26,86.18,,Orthodox,9/27/1970,1,100,6,50,0,0,0,0,,loss
Katsuhiko Nagata,,6,7,3,170.18,69.85,,Southpaw,10/31/1973,1.05,19,1.5,63,0.98,28,28,0,,win
Saparbeg Safarov,,9,3,0,185.42,83.91,198.12,Orthodox,10/14/1986,4.03,48,2.96,47,2.52,41,33,0,,loss
CJ Marsh,,5,7,0,,,,,,0,0,0,0,0,0,0,0,,win
Eli Tamez,Tomahawk,10,0,0,170.18,61.23,,,,0,0,0,0,0,0,0,0,,loss
George Allen,,13,19,2,187.96,92.99,,Open Stance,1/13/1967,0.8,38,3.1,43,0,0,50,0,,win
Gabriel Checco,Zangief,10,2,0,185.42,83.91,,Switch,4/3/1986,0,0,0,0,0,0,0,0,,loss
Wesley Little,,4,8,0,193.04,92.99,,,,0,0,0,0,0,0,0,0,,win
Chad Leonhardt,The Boss,9,4,0,182.88,77.11,,,,0,0,0,0,0,0,0,0,,win
Derek Campos,The Stallion,19,6,0,175.26,70.31,,,,2.41,23,10.34,44,0,0,0,0,,win
Jorge Oliveira,,5,3,1,185.42,92.99,,,,0,0,0,0,0,0,0,0,,loss
Gigo Jara,The Little Animal,6,9,0,175.26,65.77,,,,2.26,57,2.71,51,0,0,66,0,,win
Aleksei Kunchenko,,20,2,0,172.72,77.11,177.8,Orthodox,5/2/1984,3.67,44,2.83,63,0.25,33,80,0,,win
Kemran Lachinov,,3,2,0,,77.11,,,,0,0,0,0,0,0,0,0,,win
Mabelly Lima,,7,1,0,157.48,61.23,,Orthodox,1/25/1994,3.07,63,5.67,44,0,0,100,0,,win
James Terry,Intensity,19,9,0,177.8,77.11,,Orthodox,3/16/1981,3.23,32,4.77,64,3.31,36,75,0,,loss
Dave Berry,,0,1,0,,,,,,0,0,0,0,0,0,0,0,,win
Patricia Alujas,The Angel,9,3,0,162.56,52.16,162.56,Orthodox,5/8/1996,5.83,31,9.25,44,0,0,0,0,,win
Marcos Brigagao,Ironside,11,1,0,190.5,92.99,193.04,Southpaw,4/1/1996,3.07,43,3.27,25,0,0,36,0,,win
Tetsuya Seki,,14,8,1,177.8,70.31,,,,0,0,0,0,0,0,0,0,,win
Neil Wain,Old School,13,4,0,177.8,109.77,,Orthodox,,2.64,50,8.57,43,0,0,50,0,,win
Micol Di Segni,,7,3,0,160.02,52.16,152.4,Orthodox,12/29/1987,7.47,40,5.87,33,0,0,37,0,,win
Anistavio Medeiros,Gasparzinho,19,10,0,167.64,65.77,,Orthodox,5/1/1988,3.64,44,5,47,0,0,0,0,,win
Josh LaBerge,,11,6,0,177.8,65.77,,,,2.53,36,5.33,44,0,0,71,0,,win
Azamat Gashimov,,8,3,0,167.64,56.7,,Orthodox,4/7/1990,1.24,21,4.75,53,1.69,25,0,0,,win
Mike van Arsdale,,8,5,0,187.96,92.99,,Switch,6/20/1965,1.52,41,1.91,41,1.06,14,37,0,,win
Teruto Ishihara,Yashabo,10,7,2,170.18,61.23,175.26,Southpaw,7/23/1991,3.26,44,3.63,53,0.5,16,30,0,,win
Joey Beltran,The Mexicutioner,17,14,0,185.42,83.91,190.5,Orthodox,12/8/1981,4.92,36,5.27,54,0.48,18,75,0,,win
Shane Carwin,The Engineer,12,2,0,187.96,120.2,203.2,Orthodox,1/4/1975,4.38,47,3.53,53,1.42,33,42,0,,win
TJ Laramie,,12,5,0,167.64,65.77,167.64,Orthodox,10/15/1997,1.49,50,2.64,38,1.44,33,40,0,,loss
John Richard,,3,5,1,,92.99,,,,0,0,0,0,0,0,0,0,,loss
Lucas Stark,,1,5,0,,70.31,,,,1.6,25,3.2,66,12,100,0,0,,win
Kazuki Tokudome,,18,7,1,180.34,70.31,185.42,Southpaw,3/4/1987,2.26,41,3.63,53,2,38,78,0,,draw
Alexander Trevino,,7,7,0,,77.11,,,,0,0,0,0,0,0,0,0,,win
Justin Wren,The Viking,13,2,0,187.96,120.2,,Orthodox,4/27/1987,3.43,35,2.07,64,0,0,100,0,,win
Frederick Brown,,3,2,0,182.88,106.59,,,,0,0,0,0,0,0,0,0,,win
Kyoji Horiguchi,,19,2,0,165.1,56.7,167.64,Orthodox,10/12/1990,3.6,45,2.45,62,2,44,55,0,,win
Edson Gomez,,6,2,0,172.72,77.11,175.26,Switch,2/23/1991,2.66,32,8.78,45,0,0,0,0,,win
Alexandre Franca Nogueira,Pequeno,18,6,3,170.18,65.77,,Orthodox,1/15/1978,0.6,20,4.18,57,0,0,0,0,,loss
Kim Couture,Sugar Free,3,8,0,172.72,61.23,,Orthodox,12/18/1975,12.12,80,2.31,69,0,0,0,0,,loss
Jason Fairn,,4,5,0,185.42,104.33,,,,0,0,0,0,0,0,0,0,,win
Lukasz Les,,8,3,0,,77.11,,,,0,0,0,0,0,0,0,0,,win
Joe Ray,,13,0,0,,77.11,,,,0,0,0,0,0,0,0,0,,loss
Jan Finney,Cuddles,11,12,0,172.72,61.23,,Orthodox,,2.16,28,8.75,42,0.77,11,25,0,,win
Mason Jones,Dragon,11,2,0,177.8,70.31,187.96,Orthodox,4/26/1995,5.61,44,4.94,46,3.16,45,80,0,,win
