name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Gabriel Bonfim,Marretinha,15,1,0,185.42,77.11,182.88,Orthodox,8/20/1997,4.87,40,5.25,59,4.75,71,100,3.8,,win
James Wilks,Lightning,7,4,0,185.42,77.11,190.5,Orthodox,5/4/1978,1.82,45,2.03,50,1.27,22,66,3.8,,win
Assu Almabayev,Zulfikar,18,2,0,162.56,56.7,165.1,Orthodox,1/25/1994,3.18,65,0.49,77,3.67,40,0,3.7,,win
Nyamjargal Tumendemberel,Art of Knockout,8,0,0,170.18,56.7,180.34,Orthodox,3/22/1998,4.43,44,3.62,45,4.68,38,14,3.7,,win
Jaqueline Amorim,,7,1,0,160.02,52.16,172.72,Orthodox,6/24/1995,3.42,52,1.81,62,1.57,23,0,3.7,,win
HyunSung Park,Peace of Mind,8,0,0,170.18,56.7,167.64,Orthodox,11/4/1995,3.51,48,2.62,59,2.23,30,100,3.7,,win
Igor Gracie,,5,4,0,180.34,77.11,,,,1.86,60,0.99,50,3.72,50,0,3.7,,win
Brady Fink,,2,3,0,182.88,83.01,,Orthodox,,1.69,41,1.69,61,3.63,25,0,3.6,,loss
Tatsuya Mizuno,,16,12,1,185.42,92.99,,Southpaw,6/2/1981,2.25,37,3.52,53,1.19,25,40,3.6,,win
Per Eklund,,14,5,1,177.8,70.31,182.88,Orthodox,,2.07,61,2.38,67,2.07,11,50,3.6,,win
Daisuke Nakamura,,28,19,1,170.18,69.85,,Orthodox,6/10/1980,0.94,30,1.38,61,0.46,40,30,3.6,,win
Brennan Ward,The Irish Bad Boy,14,5,0,177.8,77.11,180.34,,,7.2,60,2.76,52,0,0,100,3.6,,win
Ken Kaneko,,0,3,0,182.88,73.03,,Orthodox,,0,0,0.94,42,0,0,0,3.5,,loss
Rolando Delgado,Roli,11,6,1,190.5,70.31,195.58,Orthodox,11/22/1981,1.56,40,1.83,62,1.17,22,0,3.5,,win
Mike King,,5,1,0,190.5,83.91,,,,4.44,58,1.29,72,1.75,25,40,3.5,,win
Kit Cope,Havoc,6,7,0,182.88,77.11,,Orthodox,3/17/1977,1.18,52,2.12,35,0,0,50,3.5,,loss
Chris Sanford,,5,1,0,180.34,83.91,,Orthodox,3/12/1968,0.23,50,3.22,17,0,0,0,3.5,,win
Junie Browning,,5,6,0,175.26,70.31,,Orthodox,5/12/1984,3.76,48,1.76,66,3.53,66,0,3.5,,loss
Preston Parsons,Pressure,10,4,0,180.34,77.11,180.34,Orthodox,7/15/1995,4.14,56,3.76,49,3.11,33,100,3.5,,win
Mike Budnik,,13,4,0,175.26,65.77,172.72,Orthodox,8/8/1974,0.65,52,0.95,53,0,0,0,3.4,,win
Zhang Tiequan,The Wolf,15,4,0,172.72,70.31,175.26,Orthodox,7/25/1978,1.23,36,2.14,51,1.95,58,75,3.4,,win
Shannon Gugerty,,15,7,0,177.8,70.31,180.34,Orthodox,12/30/1981,1.25,39,1.88,58,2.13,27,50,3.4,,win
Allen Berube,Monstah Lobstah,4,3,0,172.72,70.31,,Orthodox,8/25/1974,0.92,80,0.92,33,6.87,100,0,3.4,,win
Tim Credeur,,12,4,0,190.5,83.91,190.5,Orthodox,7/9/1977,3.59,30,3.13,57,0.41,100,50,3.3,,win
Daisuke Sugie,Amazon,10,8,1,167.64,72.57,,Orthodox,,0,0,0.22,80,3.27,50,0,3.3,,win
Herbert Burns,The Blaze,11,4,0,175.26,65.77,185.42,Orthodox,2/2/1988,1.61,51,4.74,30,3.92,75,60,3.3,,win
Edwin DeWees,Babyface,38,17,0,185.42,83.91,,Orthodox,8/7/1982,1.53,33,6.19,39,2.18,66,0,3.3,,win
Ricardo Romero,,11,3,0,182.88,92.99,193.04,Orthodox,4/15/1978,2.17,55,4.77,46,1.63,10,100,3.3,,win
Rob Broughton,The Bear,16,7,1,187.96,120.2,187.96,Orthodox,3/3/1983,2.83,60,2.54,51,0,0,26,3.2,,win
Ryuichi Murata,,8,3,1,172.72,83.01,,Orthodox,,0.84,36,1.89,50,4.74,50,100,3.2,,win
Roman Zentsov,The Russian Hammer,18,12,0,185.42,104.33,,Orthodox,9/10/1973,1.18,36,0.53,70,1.6,100,33,3.2,,win
Dmitry Sosnovskiy,Wicked Machine,11,0,0,190.5,108.86,195.58,Orthodox,7/6/1989,2.95,70,2.53,35,3.16,66,100,3.2,,win
Jesse Taylor,JT Money,31,15,0,182.88,77.11,185.42,Orthodox,1/2/1983,1.94,65,0.55,38,7.28,50,100,3.1,,win
Alexandre Dantas,Cafe,0,3,0,187.96,107.95,,Orthodox,3/1/1979,0.21,25,1.87,60,0,0,0,3.1,,loss
Kevin Jousset,Air,9,2,0,187.96,77.11,190.5,Orthodox,5/2/1993,6.02,50,8.1,33,3.11,100,0,3.1,,win
Manny Bermudez,The Bermudez Triangle,14,2,0,177.8,65.77,180.34,Orthodox,7/16/1994,2.92,61,2.68,46,3.06,54,0,3.1,,win
Eric Lawson,,9,5,0,182.88,83.91,,Orthodox,,1.58,57,1.97,44,8.88,42,0,3,,win
Sidney Outlaw,,8,4,0,172.72,77.11,187.96,Orthodox,4/11/1992,0.13,33,0.8,71,3,75,0,3,,win
Maiquel Falcao,Big Rig,37,10,0,180.34,83.91,,Orthodox,3/8/1981,1.67,55,0.53,86,1,100,71,3,,win
Samandar Murodov,,8,0,0,185.42,77.11,190.5,Orthodox,8/28/1999,3.41,80,0.8,0,3.01,100,0,3,,win
