wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
14,0,0,175.26,187.96,Southpaw,6.03,64,4.36,62,5.77,60,100,3.9,win
7,0,0,172.72,190.5,Orthodox,0.91,58,2.33,47,13.61,63,0,3.9,win
20,7,1,190.5,182.88,Orthodox,1.54,85,3.59,17,0,0,0,3.9,win
3,3,0,180.34,182.88,Orthodox,1.71,34,0.66,84,3.94,100,0,3.9,draw
7,3,0,180.34,182.88,Orthodox,1.45,40,3.83,46,1.41,37,33,3.8,win
12,3,0,195.58,208.28,Orthodox,1.27,71,4.56,25,3.8,100,100,3.8,win
17,10,1,180.34,185.42,Orthodox,0.97,38,2.44,39,0,0,38,3.8,win
15,1,0,185.42,182.88,Orthodox,4.87,40,5.25,59,4.75,71,100,3.8,win
7,4,0,185.42,190.5,Orthodox,1.82,45,2.03,50,1.27,22,66,3.8,win
18,2,0,162.56,165.1,Orthodox,3.18,65,0.49,77,3.67,40,0,3.7,win
8,0,0,170.18,180.34,Orthodox,4.43,44,3.62,45,4.68,38,14,3.7,win
7,1,0,160.02,172.72,Orthodox,3.42,52,1.81,62,1.57,23,0,3.7,win
8,0,0,170.18,167.64,Orthodox,3.51,48,2.62,59,2.23,30,100,3.7,win
5,4,0,180.34,182.88,Orthodox,1.86,60,0.99,50,3.72,50,0,3.7,win
2,3,0,182.88,182.88,Orthodox,1.69,41,1.69,61,3.63,25,0,3.6,loss
16,12,1,185.42,182.88,Southpaw,2.25,37,3.52,53,1.19,25,40,3.6,win
14,5,1,177.8,182.88,Orthodox,2.07,61,2.38,67,2.07,11,50,3.6,win
28,19,1,170.18,182.88,Orthodox,0.94,30,1.38,61,0.46,40,30,3.6,win
14,5,0,177.8,180.34,Orthodox,7.2,60,2.76,52,0,0,100,3.6,win
0,3,0,182.88,182.88,Orthodox,0,0,0.94,42,0,0,0,3.5,loss
11,6,1,190.5,195.58,Orthodox,1.56,40,1.83,62,1.17,22,0,3.5,win
5,1,0,190.5,182.88,Orthodox,4.44,58,1.29,72,1.75,25,40,3.5,win
6,7,0,182.88,182.88,Orthodox,1.18,52,2.12,35,0,0,50,3.5,loss
5,1,0,180.34,182.88,Orthodox,0.23,50,3.22,17,0,0,0,3.5,win
5,6,0,175.26,182.88,Orthodox,3.76,48,1.76,66,3.53,66,0,3.5,loss
10,4,0,180.34,180.34,Orthodox,4.14,56,3.76,49,3.11,33,100,3.5,win
13,4,0,175.26,172.72,Orthodox,0.65,52,0.95,53,0,0,0,3.4,win
15,4,0,172.72,175.26,Orthodox,1.23,36,2.14,51,1.95,58,75,3.4,win
15,7,0,177.8,180.34,Orthodox,1.25,39,1.88,58,2.13,27,50,3.4,win
4,3,0,172.72,182.88,Orthodox,0.92,80,0.92,33,6.87,100,0,3.4,win
12,4,0,190.5,190.5,Orthodox,3.59,30,3.13,57,0.41,100,50,3.3,win
10,8,1,167.64,182.88,Orthodox,0,0,0.22,80,3.27,50,0,3.3,win
11,4,0,175.26,185.42,Orthodox,1.61,51,4.74,30,3.92,75,60,3.3,win
38,17,0,185.42,182.88,Orthodox,1.53,33,6.19,39,2.18,66,0,3.3,win
11,3,0,182.88,193.04,Orthodox,2.17,55,4.77,46,1.63,10,100,3.3,win
16,7,1,187.96,187.96,Orthodox,2.83,60,2.54,51,0,0,26,3.2,win
8,3,1,172.72,182.88,Orthodox,0.84,36,1.89,50,4.74,50,100,3.2,win
